-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,13.0,-11.875,0.15,0.31,3.53,2.07,33.99,118.74,187.64,257.05,123.04,68.81,3.76,0.0,799.09
PRECTOTCORR_SUM,2000,13.0,-12.5,0.08,0.15,2.84,1.67,17.22,107.33,173.41,250.9,110.99,83.4,4.79,0.0,752.78
PRECTOTCORR_SUM,2000,13.0,-13.125,0.2,0.07,0.56,1.39,4.7,91.42,130.64,217.07,85.21,112.93,4.35,0.0,648.54
PRECTOTCORR_SUM,2000,13.0,-13.75,0.16,0.03,0.12,1.07,0.94,84.72,123.62,221.58,87.25,115.68,4.31,0.0,639.48
PRECTOTCORR_SUM,2000,13.0,-14.375,0.09,0.01,0.04,0.35,0.34,75.26,147.69,237.96,125.74,117.91,3.73,0.0,709.12
PRECTOTCORR_SUM,2000,13.0,-15.0,0.07,0.0,0.02,0.06,0.2,70.52,167.09,236.19,152.5,123.39,2.49,0.0,752.53
PRECTOTCORR_SUM,2000,13.0,-15.625,0.06,0.0,0.01,0.03,0.11,63.49,187.96,229.19,185.43,129.11,1.22,0.0,796.61
PRECTOTCORR_SUM,2000,13.0,-16.25,0.04,0.0,0.0,0.0,0.05,47.57,200.51,217.99,210.3,125.99,0.43,0.0,802.88
PRECTOTCORR_SUM,2000,13.5,-11.875,0.08,0.0,0.78,0.62,17.51,101.69,158.28,210.89,122.57,60.78,1.85,0.0,675.05
PRECTOTCORR_SUM,2000,13.5,-12.5,0.06,0.01,0.57,0.63,2.04,85.31,147.49,199.2,106.16,71.4,1.62,0.0,614.49
PRECTOTCORR_SUM,2000,13.5,-13.125,0.16,0.05,0.2,0.57,0.48,67.7,99.71,169.72,73.1,99.04,1.5,0.0,512.23
PRECTOTCORR_SUM,2000,13.5,-13.75,0.14,0.04,0.07,0.37,0.16,61.92,86.57,179.67,71.65,102.6,1.7,0.0,504.89
PRECTOTCORR_SUM,2000,13.5,-14.375,0.09,0.01,0.03,0.12,0.11,54.64,101.49,199.3,104.66,107.85,1.22,0.0,569.52
PRECTOTCORR_SUM,2000,13.5,-15.0,0.06,0.0,0.02,0.04,0.09,50.48,113.93,203.44,125.09,110.16,0.89,0.0,604.2
PRECTOTCORR_SUM,2000,13.5,-15.625,0.05,0.0,0.01,0.02,0.06,44.61,130.8,204.29,152.59,112.54,0.48,0.0,645.45
PRECTOTCORR_SUM,2000,13.5,-16.25,0.03,0.0,0.0,0.0,0.04,32.4,144.86,194.46,171.72,110.95,0.04,0.0,654.5
PRECTOTCORR_SUM,2000,14.0,-11.875,0.1,0.0,0.1,0.37,0.75,74.04,128.81,175.28,109.32,49.39,1.11,0.0,539.27
PRECTOTCORR_SUM,2000,14.0,-12.5,0.07,0.01,0.07,0.47,0.19,64.21,121.8,160.48,94.36,60.71,1.03,0.0,503.4
PRECTOTCORR_SUM,2000,14.0,-13.125,0.16,0.04,0.03,0.33,0.04,52.19,77.49,135.94,62.43,85.84,1.18,0.0,415.67
PRECTOTCORR_SUM,2000,14.0,-13.75,0.11,0.04,0.02,0.14,0.08,45.86,64.39,144.8,59.81,87.71,1.37,0.0,404.33
PRECTOTCORR_SUM,2000,14.0,-14.375,0.06,0.01,0.01,0.04,0.07,37.12,76.05,162.29,83.12,95.06,0.86,0.0,454.69
PRECTOTCORR_SUM,2000,14.0,-15.0,0.05,0.0,0.01,0.03,0.07,33.98,83.98,165.72,96.06,98.01,0.64,0.0,478.55
PRECTOTCORR_SUM,2000,14.0,-15.625,0.05,0.0,0.0,0.01,0.04,30.11,94.44,166.18,114.39,101.73,0.34,0.0,507.29
PRECTOTCORR_SUM,2000,14.0,-16.25,0.04,0.0,0.0,0.0,0.03,21.11,102.09,159.71,129.46,104.01,0.01,0.0,516.46
PRECTOTCORR_SUM,2000,14.5,-11.875,0.04,0.0,0.06,0.2,0.31,53.68,99.2,147.89,94.74,43.19,0.59,0.0,439.9
PRECTOTCORR_SUM,2000,14.5,-12.5,0.13,0.02,0.03,0.25,0.14,44.76,74.17,123.93,71.24,67.24,0.76,0.0,382.67
PRECTOTCORR_SUM,2000,14.5,-13.125,0.15,0.05,0.0,0.19,0.05,36.38,56.42,109.69,56.16,79.79,1.0,0.0,339.88
PRECTOTCORR_SUM,2000,14.5,-13.75,0.11,0.03,0.0,0.1,0.04,29.58,49.97,110.79,52.17,80.36,1.08,0.0,324.23
PRECTOTCORR_SUM,2000,14.5,-14.375,0.07,0.0,0.0,0.03,0.06,23.07,64.09,122.1,70.18,84.91,0.71,0.0,365.22
PRECTOTCORR_SUM,2000,14.5,-15.0,0.05,0.0,0.0,0.02,0.06,21.41,70.35,124.7,78.02,87.17,0.51,0.0,382.29
PRECTOTCORR_SUM,2000,14.5,-15.625,0.04,0.0,0.0,0.01,0.05,18.78,77.51,126.84,90.48,90.33,0.28,0.0,404.32
PRECTOTCORR_SUM,2000,14.5,-16.25,0.06,0.0,0.0,0.0,0.03,12.64,82.11,133.29,106.94,91.24,0.0,0.0,426.31
PRECTOTCORR_SUM,2000,15.0,-11.875,0.03,0.09,0.04,0.04,0.27,45.97,90.6,186.57,120.45,72.29,0.69,0.0,517.04
PRECTOTCORR_SUM,2000,15.0,-12.5,0.1,0.19,0.01,0.05,0.12,45.91,70.63,149.23,102.36,85.03,2.06,0.0,455.69
PRECTOTCORR_SUM,2000,15.0,-13.125,0.12,0.33,0.0,0.06,0.03,45.23,56.56,132.01,86.14,92.94,3.76,0.0,417.18
PRECTOTCORR_SUM,2000,15.0,-13.75,0.09,0.19,0.0,0.05,0.01,39.25,51.86,133.13,78.59,89.99,3.92,0.0,397.08
PRECTOTCORR_SUM,2000,15.0,-14.375,0.07,0.01,0.0,0.02,0.01,30.23,54.16,136.9,77.27,82.13,2.55,0.0,383.35
PRECTOTCORR_SUM,2000,15.0,-15.0,0.04,0.0,0.0,0.01,0.03,16.11,61.66,126.58,81.1,78.34,0.85,0.0,364.72
PRECTOTCORR_SUM,2000,15.0,-15.625,0.04,0.0,0.0,0.0,0.04,6.78,68.31,116.34,86.14,78.73,0.09,0.0,356.47
PRECTOTCORR_SUM,2000,15.0,-16.25,0.07,0.0,0.0,0.0,0.02,4.04,69.88,124.24,88.58,74.53,0.0,0.0,361.36
PRECTOTCORR_SUM,2000,15.5,-11.875,0.03,0.11,0.01,0.0,0.12,40.25,81.18,212.95,127.1,97.08,0.89,0.0,559.72
PRECTOTCORR_SUM,2000,15.5,-12.5,0.08,0.42,0.01,0.0,0.04,49.21,66.08,166.73,114.47,97.71,2.53,0.0,497.28
PRECTOTCORR_SUM,2000,15.5,-13.125,0.11,0.41,0.0,0.0,0.01,52.18,55.56,138.31,97.18,94.61,3.35,0.0,441.72
PRECTOTCORR_SUM,2000,15.5,-13.75,0.11,0.15,0.0,0.0,0.0,41.91,53.46,139.02,87.51,85.68,2.51,0.0,410.35
PRECTOTCORR_SUM,2000,15.5,-14.375,0.12,0.03,0.0,0.0,0.0,30.83,53.76,147.21,84.49,73.65,1.08,0.0,391.17
PRECTOTCORR_SUM,2000,15.5,-15.0,0.06,0.01,0.0,0.0,0.0,16.07,51.27,130.63,78.25,64.67,0.2,0.0,341.16
PRECTOTCORR_SUM,2000,15.5,-15.625,0.01,0.01,0.0,0.0,0.0,3.51,49.55,115.15,71.87,60.66,0.01,0.0,300.77
PRECTOTCORR_SUM,2000,15.5,-16.25,0.0,0.01,0.0,0.0,0.0,0.94,43.72,110.45,65.52,53.91,0.0,0.0,274.55
PRECTOTCORR_SUM,2000,16.0,-11.875,0.05,0.14,0.01,0.0,0.18,32.26,62.79,204.88,104.02,94.5,1.01,0.0,499.84
PRECTOTCORR_SUM,2000,16.0,-12.5,0.13,0.43,0.01,0.0,0.07,43.31,53.47,161.83,94.11,89.33,2.39,0.0,445.08
PRECTOTCORR_SUM,2000,16.0,-13.125,0.23,0.28,0.0,0.0,0.01,45.37,47.25,125.15,80.32,84.85,2.32,0.0,385.78
PRECTOTCORR_SUM,2000,16.0,-13.75,0.26,0.08,0.0,0.0,0.0,32.51,48.06,119.64,74.07,79.45,1.25,0.0,355.32
PRECTOTCORR_SUM,2000,16.0,-14.375,0.25,0.07,0.0,0.0,0.0,21.77,49.57,125.58,73.28,70.64,0.43,0.0,341.59
PRECTOTCORR_SUM,2000,16.0,-15.0,0.14,0.06,0.0,0.0,0.0,11.64,45.84,115.07,68.48,63.36,0.02,0.0,304.61
PRECTOTCORR_SUM,2000,16.0,-15.625,0.02,0.03,0.0,0.0,0.0,2.71,39.26,101.64,61.18,58.15,0.0,0.0,262.99
PRECTOTCORR_SUM,2000,16.0,-16.25,0.0,0.03,0.0,0.0,0.0,0.86,26.87,86.86,48.32,47.98,0.0,0.0,210.92
PRECTOTCORR_SUM,2001,13.0,-11.875,0.0,0.0,0.0,0.5,9.22,100.16,201.59,166.31,123.13,40.69,2.35,0.0,643.95
PRECTOTCORR_SUM,2001,13.0,-12.5,0.0,0.0,0.0,1.19,5.53,84.71,181.41,149.37,115.69,40.3,3.13,0.0,581.33
PRECTOTCORR_SUM,2001,13.0,-13.125,0.0,0.0,0.0,0.45,1.41,51.57,102.46,96.27,85.16,23.9,2.45,0.0,363.67
PRECTOTCORR_SUM,2001,13.0,-13.75,0.0,0.0,0.0,0.09,0.5,46.76,93.6,93.11,79.93,20.45,2.19,0.0,336.63
PRECTOTCORR_SUM,2001,13.0,-14.375,0.0,0.0,0.0,0.23,0.34,63.97,128.92,129.65,85.25,18.42,2.94,0.0,429.72
PRECTOTCORR_SUM,2001,13.0,-15.0,0.0,0.0,0.0,0.35,0.19,77.49,151.07,150.82,86.61,17.94,2.87,0.0,487.34
PRECTOTCORR_SUM,2001,13.0,-15.625,0.0,0.0,0.0,0.37,0.05,86.59,173.59,174.45,90.44,18.07,3.26,0.0,546.82
PRECTOTCORR_SUM,2001,13.0,-16.25,0.0,0.0,0.0,0.18,0.0,71.5,176.87,187.31,98.56,17.48,4.66,0.0,556.56
PRECTOTCORR_SUM,2001,13.5,-11.875,0.0,0.0,0.0,0.29,5.2,80.16,187.67,150.82,112.48,36.1,1.25,0.0,573.97
PRECTOTCORR_SUM,2001,13.5,-12.5,0.0,0.0,0.0,0.73,4.31,72.34,167.91,135.39,102.89,35.84,1.19,0.0,520.6
PRECTOTCORR_SUM,2001,13.5,-13.125,0.0,0.0,0.0,0.38,0.66,40.77,89.67,81.39,73.76,19.73,0.51,0.0,306.87
PRECTOTCORR_SUM,2001,13.5,-13.75,0.0,0.0,0.0,0.04,0.1,33.56,81.34,76.84,71.77,16.18,0.52,0.0,280.35
PRECTOTCORR_SUM,2001,13.5,-14.375,0.0,0.0,0.0,0.17,0.08,45.79,112.86,110.73,78.98,14.06,1.43,0.0,364.1
PRECTOTCORR_SUM,2001,13.5,-15.0,0.0,0.0,0.0,0.27,0.05,54.52,130.46,130.02,82.47,13.11,1.94,0.0,412.84
PRECTOTCORR_SUM,2001,13.5,-15.625,0.0,0.0,0.0,0.28,0.02,60.47,149.89,153.86,88.49,12.66,2.63,0.0,468.3
PRECTOTCORR_SUM,2001,13.5,-16.25,0.0,0.0,0.0,0.11,0.0,47.2,150.36,164.35,95.01,11.89,4.02,0.0,472.94
PRECTOTCORR_SUM,2001,14.0,-11.875,0.0,0.0,0.0,0.05,4.63,68.21,155.85,133.45,101.36,27.63,1.01,0.0,492.19
PRECTOTCORR_SUM,2001,14.0,-12.5,0.0,0.0,0.0,0.1,1.81,63.53,148.81,119.76,94.01,29.06,0.83,0.0,457.91
PRECTOTCORR_SUM,2001,14.0,-13.125,0.0,0.0,0.0,0.09,0.18,32.68,80.8,67.78,67.99,14.87,0.31,0.0,264.7
PRECTOTCORR_SUM,2001,14.0,-13.75,0.0,0.0,0.0,0.02,0.05,23.91,71.32,62.54,67.95,11.75,0.25,0.0,237.79
PRECTOTCORR_SUM,2001,14.0,-14.375,0.0,0.0,0.0,0.08,0.04,31.95,95.42,93.91,77.26,10.2,0.72,0.0,309.58
PRECTOTCORR_SUM,2001,14.0,-15.0,0.0,0.0,0.0,0.11,0.03,37.01,107.06,108.85,80.45,9.69,1.0,0.0,344.2
PRECTOTCORR_SUM,2001,14.0,-15.625,0.0,0.0,0.0,0.11,0.02,40.53,120.45,128.24,85.96,9.79,1.43,0.0,386.53
PRECTOTCORR_SUM,2001,14.0,-16.25,0.0,0.0,0.0,0.04,0.0,31.27,123.85,141.35,91.36,9.81,2.45,0.0,400.13
PRECTOTCORR_SUM,2001,14.5,-11.875,0.0,0.0,0.0,0.01,1.34,62.36,145.6,119.02,96.16,23.83,0.97,0.0,449.29
PRECTOTCORR_SUM,2001,14.5,-12.5,0.0,0.0,0.0,0.05,0.48,40.33,107.59,82.77,70.8,16.15,0.61,0.0,318.78
PRECTOTCORR_SUM,2001,14.5,-13.125,0.0,0.0,0.0,0.05,0.1,23.79,75.91,57.58,57.33,9.71,0.38,0.0,224.85
PRECTOTCORR_SUM,2001,14.5,-13.75,0.0,0.0,0.0,0.01,0.04,17.97,65.52,52.53,58.97,7.77,0.23,0.0,203.04
PRECTOTCORR_SUM,2001,14.5,-14.375,0.0,0.0,0.0,0.02,0.03,22.72,84.6,80.54,69.2,7.64,0.41,0.0,265.16
PRECTOTCORR_SUM,2001,14.5,-15.0,0.0,0.0,0.0,0.02,0.03,25.31,92.91,91.22,71.81,7.63,0.58,0.0,289.51
PRECTOTCORR_SUM,2001,14.5,-15.625,0.0,0.0,0.0,0.02,0.01,28.29,105.18,107.44,76.31,7.59,0.87,0.0,325.71
PRECTOTCORR_SUM,2001,14.5,-16.25,0.0,0.0,0.0,0.01,0.0,26.27,119.51,126.07,82.88,7.99,1.65,0.0,364.38
PRECTOTCORR_SUM,2001,15.0,-11.875,0.0,0.0,0.0,0.0,1.47,49.31,149.41,78.71,95.4,37.07,2.79,0.02,414.18
PRECTOTCORR_SUM,2001,15.0,-12.5,0.0,0.0,0.0,0.28,0.4,27.57,127.38,57.53,66.73,24.43,2.11,0.01,306.44
PRECTOTCORR_SUM,2001,15.0,-13.125,0.0,0.0,0.0,0.9,0.06,13.5,121.46,43.45,50.09,14.12,0.96,0.01,244.55
PRECTOTCORR_SUM,2001,15.0,-13.75,0.0,0.0,0.0,0.81,0.14,9.93,126.25,41.13,48.87,12.12,0.34,0.0,239.59
PRECTOTCORR_SUM,2001,15.0,-14.375,0.0,0.0,0.0,0.27,0.17,9.38,124.59,44.81,52.24,13.34,0.23,0.0,245.03
PRECTOTCORR_SUM,2001,15.0,-15.0,0.0,0.0,0.0,0.03,0.05,13.47,121.08,61.23,57.96,9.49,0.79,0.0,264.1
PRECTOTCORR_SUM,2001,15.0,-15.625,0.0,0.0,0.0,0.01,0.0,17.76,122.73,77.87,63.1,4.95,1.4,0.0,287.82
