-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2000,13.5,-12.5,0.21,0.11,0.08,0.1,0.1,0.39,0.53,0.68,0.67,0.55,0.37,0.13,0.33
GWETTOP,2000,13.5,-13.125,0.35,0.2,0.12,0.1,0.09,0.31,0.43,0.53,0.49,0.46,0.35,0.2,0.3
GWETTOP,2000,13.5,-13.75,0.37,0.26,0.18,0.15,0.13,0.3,0.43,0.53,0.49,0.47,0.36,0.24,0.33
GWETTOP,2000,13.5,-14.375,0.36,0.21,0.14,0.11,0.1,0.28,0.46,0.57,0.57,0.53,0.4,0.24,0.33
GWETTOP,2000,13.5,-15.0,0.37,0.29,0.24,0.21,0.19,0.31,0.45,0.58,0.58,0.53,0.38,0.28,0.37
GWETTOP,2000,13.5,-15.625,0.53,0.48,0.36,0.32,0.3,0.41,0.58,0.71,0.71,0.66,0.52,0.39,0.5
GWETTOP,2000,13.5,-16.25,0.53,0.45,0.38,0.35,0.33,0.42,0.59,0.73,0.75,0.69,0.54,0.41,0.51
GWETTOP,2000,13.5,-16.875,0.39,0.35,0.34,0.33,0.33,0.36,0.48,0.62,0.64,0.59,0.44,0.36,0.44
GWETTOP,2000,13.5,-17.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GWETTOP,2000,13.5,-18.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GWETTOP,2000,13.5,-18.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GWETTOP,2000,14.0,-12.5,0.15,0.1,0.07,0.08,0.07,0.32,0.46,0.58,0.55,0.46,0.29,0.12,0.27
GWETTOP,2000,14.0,-13.125,0.22,0.1,0.07,0.07,0.06,0.27,0.4,0.48,0.45,0.44,0.32,0.14,0.25
GWETTOP,2000,14.0,-13.75,0.26,0.14,0.08,0.07,0.06,0.24,0.38,0.47,0.44,0.43,0.34,0.18,0.26
