-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2000,13.0,-12.5,99.62,99.75,99.43,99.38,99.48,99.75,99.73,99.87,99.75,99.79,99.71,99.82,99.67
PS,2000,13.0,-13.125,100.2,100.32,100.0,99.97,100.07,100.34,100.32,100.45,100.34,100.37,100.28,100.4,100.26
PS,2000,13.0,-13.75,100.38,100.49,100.18,100.15,100.26,100.51,100.5,100.62,100.51,100.54,100.46,100.57,100.43
PS,2000,13.0,-14.375,100.48,100.58,100.28,100.26,100.37,100.61,100.58,100.7,100.6,100.63,100.54,100.66,100.52
PS,2000,13.0,-15.0,100.57,100.68,100.38,100.37,100.49,100.71,100.68,100.78,100.68,100.72,100.63,100.76,100.62
PS,2000,13.0,-15.625,100.71,100.83,100.54,100.52,100.65,100.85,100.81,100.91,100.81,100.85,100.77,100.9,100.76
PS,2000,13.0,-16.25,100.85,100.97,100.69,100.69,100.83,101.0,100.95,101.04,100.94,100.99,100.9,101.04,100.91
PS,2000,13.0,-16.875,101.04,101.17,100.91,100.94,101.1,101.23,101.14,101.22,101.13,101.16,101.08,101.22,101.11
PS,2000,13.5,-12.5,99.79,99.92,99.58,99.51,99.6,99.87,99.87,100.02,99.9,99.93,99.86,99.99,99.82
PS,2000,13.5,-13.125,100.31,100.43,100.09,100.03,100.12,100.38,100.38,100.52,100.39,100.43,100.37,100.5,100.33
PS,2000,13.5,-13.75,100.51,100.63,100.29,100.24,100.34,100.58,100.58,100.71,100.59,100.63,100.56,100.7,100.53
PS,2000,13.5,-14.375,100.57,100.69,100.36,100.32,100.43,100.66,100.64,100.77,100.66,100.7,100.63,100.76,100.6
PS,2000,13.5,-15.0,100.62,100.74,100.42,100.39,100.52,100.73,100.7,100.82,100.72,100.76,100.68,100.82,100.66
PS,2000,13.5,-15.625,100.74,100.86,100.54,100.52,100.66,100.85,100.81,100.92,100.82,100.87,100.78,100.93,100.78
PS,2000,13.5,-16.25,100.86,100.99,100.69,100.68,100.84,101.01,100.94,101.04,100.94,100.99,100.9,101.05,100.91
PS,2000,13.5,-16.875,101.04,101.18,100.91,100.92,101.08,101.22,101.13,101.21,101.12,101.15,101.08,101.23,101.11
PS,2000,14.0,-12.5,100.01,100.14,99.77,99.68,99.75,100.01,100.02,100.19,100.06,100.1,100.05,100.21,100.0
