-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,13.5,-12.5,27.14,27.85,31.17,33.62,34.74,31.27,28.3,26.37,26.72,27.65,27.1,26.13,29.0
T2M,2000,13.5,-13.125,26.05,27.8,31.15,33.73,34.62,31.89,29.03,27.29,27.83,28.31,27.46,26.16,29.27
T2M,2000,13.5,-13.75,25.5,27.17,30.65,33.28,34.03,31.76,28.97,27.5,27.81,28.04,27.31,25.6,28.97
T2M,2000,13.5,-14.375,25.63,27.23,30.53,32.88,33.29,31.42,28.75,27.32,27.17,27.3,26.81,25.34,28.64
T2M,2000,13.5,-15.0,25.25,26.37,29.48,31.84,31.87,30.65,28.29,27.04,26.92,26.66,26.75,24.87,28.0
T2M,2000,13.5,-15.625,24.14,24.93,28.31,30.61,30.34,29.86,27.73,26.8,26.69,26.1,26.22,24.36,27.17
T2M,2000,13.5,-16.25,23.84,24.75,27.32,28.81,28.26,28.67,27.34,26.74,26.58,25.95,26.1,24.3,26.55
T2M,2000,13.5,-16.875,22.33,23.35,23.63,24.08,23.45,26.07,26.67,27.06,27.1,27.1,26.59,24.26,25.14
T2M,2000,14.0,-12.5,26.73,27.54,31.11,33.92,35.3,32.62,29.31,27.08,27.61,28.17,27.57,25.91,29.4
T2M,2000,14.0,-13.125,26.83,27.84,31.23,34.04,35.02,32.81,30.04,28.19,28.72,28.55,27.57,26.14,29.75
T2M,2000,14.0,-13.75,26.28,27.74,31.1,33.96,34.46,32.6,30.06,28.38,28.67,28.41,27.27,25.78,29.56
T2M,2000,14.0,-14.375,26.36,27.58,30.78,33.42,33.48,32.12,29.73,27.96,27.92,27.74,27.09,25.51,29.14
T2M,2000,14.0,-15.0,25.4,26.78,29.89,32.37,32.08,31.2,29.2,27.61,27.57,27.25,27.13,24.95,28.45
T2M,2000,14.0,-15.625,24.65,25.83,28.69,31.02,30.47,30.21,28.46,27.28,27.23,26.64,26.96,24.5,27.66
T2M,2000,14.0,-16.25,24.41,25.38,27.93,29.57,28.7,29.01,27.88,27.26,27.16,26.41,26.78,24.18,27.05
T2M,2000,14.0,-16.875,22.56,23.5,24.35,24.79,24.01,26.16,26.86,27.46,27.47,27.28,26.7,24.01,25.43
T2M,2000,14.5,-12.5,25.85,26.9,30.61,34.12,35.5,33.37,30.57,28.43,28.98,28.27,27.03,25.0,29.55
T2M,2000,14.5,-13.125,26.27,27.04,30.77,34.08,35.01,33.22,30.91,28.77,29.27,28.18,27.3,25.28,29.68
T2M,2000,14.5,-13.75,26.25,26.98,30.84,34.03,34.37,33.15,31.14,29.13,29.48,28.47,27.51,25.17,29.71
T2M,2000,14.5,-14.375,25.98,26.8,30.55,33.65,33.38,32.79,30.82,29.06,29.15,28.23,27.58,24.9,29.41
T2M,2000,14.5,-15.0,25.68,26.59,29.98,32.87,32.09,32.02,30.33,28.83,28.82,27.84,27.63,24.75,28.95
T2M,2000,14.5,-15.625,24.85,25.94,29.14,31.5,30.41,30.91,29.51,28.45,28.38,27.5,27.35,24.37,28.19
T2M,2000,14.5,-16.25,24.26,25.43,28.17,29.77,28.61,29.7,28.62,28.05,28.03,27.4,27.35,24.12,27.46
T2M,2000,14.5,-16.875,23.2,24.2,25.87,26.38,25.37,27.36,27.52,27.77,27.62,27.19,26.72,23.82,26.09
T2M,2000,15.0,-12.5,25.8,26.55,30.39,34.3,35.56,33.76,31.01,28.86,28.98,27.62,25.82,24.01,29.39
T2M,2000,15.0,-13.125,25.5,26.33,30.27,34.03,34.88,33.5,31.11,29.14,29.47,27.75,26.13,24.03,29.35
T2M,2000,15.0,-13.75,25.65,26.42,30.51,34.0,34.28,33.25,31.28,29.4,29.62,27.97,26.63,24.27,29.44
T2M,2000,15.0,-14.375,25.48,26.33,30.31,33.59,33.26,32.74,31.12,29.42,29.58,28.03,27.11,24.19,29.26
