-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M,2000,13.5,-12.5,2.91,3.53,2.52,2.92,2.93,2.77,2.4,1.53,1.57,1.36,2.15,2.7,2.44
WS2M,2000,13.5,-13.125,2.64,3.48,2.37,2.82,2.83,2.79,2.55,1.7,1.72,1.42,2.18,2.68,2.43
WS2M,2000,13.5,-13.75,2.53,3.29,2.25,2.87,2.87,2.75,2.62,1.78,1.77,1.51,2.11,2.53,2.4
WS2M,2000,13.5,-14.375,2.51,3.34,2.32,3.02,3.04,2.81,2.66,1.83,1.67,1.53,1.99,2.5,2.43
WS2M,2000,13.5,-15.0,2.49,3.27,2.4,3.01,3.22,2.87,2.67,1.9,1.67,1.61,1.96,2.47,2.46
WS2M,2000,13.5,-15.625,2.26,2.96,2.39,2.93,3.34,2.88,2.48,1.84,1.61,1.54,1.76,2.31,2.36
WS2M,2000,13.5,-16.25,1.54,1.99,1.72,2.11,2.54,2.18,1.77,1.3,1.13,1.08,1.21,1.59,1.68
WS2M,2000,13.5,-16.875,2.94,3.59,3.06,3.64,4.18,3.65,3.86,3.13,2.77,2.63,2.67,3.19,3.28
WS2M,2000,13.5,-17.5,4.57,4.76,4.29,4.97,5.5,3.99,4.4,3.81,3.4,3.59,3.97,4.79,4.34
WS2M,2000,13.5,-18.125,5.18,5.25,4.54,5.18,5.56,3.87,4.15,3.55,3.27,3.82,4.39,5.23,4.5
WS2M,2000,13.5,-18.75,5.42,5.39,4.61,5.33,5.66,3.73,4.0,3.44,3.23,4.06,4.68,5.44,4.58
