DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.39734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,1.44504,1.53577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.88225,1.20832,1.38913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.54692,1.31876,1.4546,1.56418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.90086,1.95931,1.76937,1.83472,1.87902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.41947,1.25246,1.43621,1.40664,1.52388,1.61537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.02869,0.23557,0.81801,1.02696,1.04386,1.12204,1.19842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,2.17175,1.85508,1.67964,1.89312,1.95016,1.96472,1.98986,2.03267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.61325,1.91336,1.64886,1.56213,1.71937,1.77217,1.77062,1.79218,1.81564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,1.57987,1.26499,1.98568,1.81177,1.72248,1.84082,1.88073,1.88514,1.90305,1.91908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,1.66794,1.84432,1.42333,2.06011,1.88693,1.79376,1.89983,1.93316,1.93383,1.9486,1.9646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.09209,1.68294,1.86009,1.43994,2.06753,1.89033,1.79552,1.8993,1.93072,1.93137,1.94632,1.96234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
