year,oni
1981,-0.2683333333333333
1982,0.9900000000000001
1983,0.48
1984,-0.5058333333333334
1985,-0.5983333333333333
1986,0.25333333333333335
1987,1.2766666666666666
1988,-0.8108333333333334
1989,-0.605
1990,0.315
1991,0.6466666666666666
1992,0.6308333333333334
1993,0.3125
1994,0.47500000000000003
1995,-0.16
1996,-0.45999999999999996
1997,1.1708333333333334
1998,-0.057500000000000016
1999,-1.2249999999999999
2000,-0.8358333333333333
2001,-0.30833333333333335
2002,0.6308333333333334
2003,0.2508333333333333
2004,0.4466666666666667
2005,0.04083333333333334
2006,0.07166666666666667
2007,-0.6075
2008,-0.7816666666666666
2009,0.2816666666666667
2010,-0.4791666666666667
2011,-0.8608333333333333
2012,-0.15083333333333332
2013,-0.3225
2014,0.11666666666666665
2015,1.4608333333333334
2016,0.33416666666666667
2017,-0.2041666666666667
2018,0.006666666666666682
2019,0.4875
2020,-0.35916666666666663
