Date,         SSRN
1901-01-01,   -5.000
1901-02-01,   -6.000
1901-03-01,   -5.000
1901-04-01,  240.000
1901-05-01,  115.000
1901-06-01,  299.000
1901-07-01,  346.000
1901-08-01,  607.000
1901-09-01,  232.000
1901-10-01,  131.000
1901-11-01,   60.000
1901-12-01,   10.000
1902-01-01,   -4.000
1902-02-01,   38.000
1902-03-01,   83.000
1902-04-01,  227.000
1902-05-01,  115.000
1902-06-01,   25.000
1902-07-01,  330.000
1902-08-01,   14.000
1902-09-01, -321.000
1902-10-01,  111.000
1902-11-01,  -13.000
1902-12-01,   27.000
1903-01-01,   25.000
1903-02-01,   -6.000
1903-03-01,  -10.000
1903-04-01,  141.000
1903-05-01,  202.000
1903-06-01,  -43.000
1903-07-01,  142.000
1903-08-01,  714.000
1903-09-01,   20.000
1903-10-01,   69.000
1903-11-01,   25.000
1903-12-01,    4.000
1904-01-01,   35.000
1904-02-01,   -7.000
1904-03-01,    2.000
1904-04-01,  -16.000
1904-05-01,  189.000
1904-06-01,  226.000
1904-07-01,  436.000
1904-08-01,  -27.000
1904-09-01, -241.000
1904-10-01,    8.000
1904-11-01,   17.000
1904-12-01,   11.000
1905-01-01,    1.000
1905-02-01,    7.000
1905-03-01,   18.000
1905-04-01,    8.000
1905-05-01,   15.000
1905-06-01,  352.000
1905-07-01,  227.000
1905-08-01,  157.000
1905-09-01,  289.000
1905-10-01,  258.000
1905-11-01,   39.000
1905-12-01,   11.000
1906-01-01,   44.000
1906-02-01,   25.000
1906-03-01,  -19.000
1906-04-01,   73.000
1906-05-01,  228.000
1906-06-01,  123.000
1906-07-01,  878.000
1906-08-01, 1017.000
1906-09-01,  204.000
1906-10-01,   80.000
1906-11-01,   63.000
1906-12-01,  127.000
1907-01-01,    0.000
1907-02-01,   -1.000
1907-03-01,   11.000
1907-04-01,  -27.000
1907-05-01,  -28.000
1907-06-01,   67.000
1907-07-01, -276.000
1907-08-01,  142.000
1907-09-01,   83.000
1907-10-01,  -33.000
1907-11-01,   39.000
1907-12-01,   -2.000
1908-01-01,   -5.000
1908-02-01,   -8.000
1908-03-01,   59.000
1908-04-01,  -12.000
1908-05-01,   14.000
1908-06-01,   27.000
1908-07-01,   65.000
1908-08-01,  533.000
1908-09-01,  299.000
1908-10-01,   -2.000
1908-11-01,    4.000
1908-12-01,   13.000
1909-01-01,    6.000
1909-02-01,    4.000
1909-03-01,   25.000
1909-04-01,  186.000
1909-05-01,  298.000
1909-06-01,  327.000
1909-07-01,  304.000
1909-08-01,  525.000
1909-09-01,  182.000
1909-10-01,   13.000
1909-11-01,   29.000
1909-12-01,   26.000
1910-01-01,   -5.000
1910-02-01,   -5.000
1910-03-01,   11.000
1910-04-01,  -17.000
1910-05-01,    5.000
1910-06-01,  -68.000
1910-07-01,  242.000
1910-08-01,   21.000
1910-09-01,  219.000
1910-10-01,  -65.000
1910-11-01,  -20.000
1910-12-01,    3.000
1911-01-01,    0.000
1911-02-01,   -8.000
1911-03-01,   66.000
1911-04-01,   72.000
1911-05-01,  223.000
1911-06-01,   92.000
1911-07-01,  -46.000
1911-08-01,   14.000
1911-09-01,  -21.000
1911-10-01,   -4.000
1911-11-01,   22.000
1911-12-01,    7.000
1912-01-01,   -2.000
1912-02-01,   -4.000
1912-03-01,  -18.000
1912-04-01,   12.000
1912-05-01, -120.000
1912-06-01,  -18.000
1912-07-01, -194.000
1912-08-01,  125.000
1912-09-01,  116.000
1912-10-01,   32.000
1912-11-01,   13.000
1912-12-01,    5.000
1913-01-01,    5.000
1913-02-01,   -6.000
1913-03-01,  -16.000
1913-04-01,   -1.000
1913-05-01,   18.000
1913-06-01, -106.000
1913-07-01, -235.000
1913-08-01, -126.000
1913-09-01, -195.000
1913-10-01,  -87.000
1913-11-01,   13.000
1913-12-01,   78.000
1914-01-01,   -5.000
1914-02-01,    1.000
1914-03-01,   -4.000
1914-04-01,  -60.000
1914-05-01, -107.000
1914-06-01,  -81.000
1914-07-01,  -49.000
1914-08-01,   86.000
1914-09-01,  245.000
1914-10-01,   96.000
1914-11-01,   58.000
1914-12-01,   -2.000
1915-01-01,   -5.000
1915-02-01,   -7.000
1915-03-01,   68.000
1915-04-01,  136.000
1915-05-01,  185.000
1915-06-01,  196.000
1915-07-01,  164.000
1915-08-01,   18.000
1915-09-01,  -30.000
1915-10-01,  -17.000
1915-11-01,   11.000
1915-12-01,   -3.000
1916-01-01,   -5.000
1916-02-01,    0.000
1916-03-01,   22.000
1916-04-01,  121.000
1916-05-01,  -14.000
1916-06-01,  -95.000
1916-07-01,  259.000
1916-08-01,  401.000
1916-09-01,  421.000
1916-10-01,  -88.000
1916-11-01,    5.000
1916-12-01,    4.000
1917-01-01,    3.000
1917-02-01,   13.000
1917-03-01,   32.000
1917-04-01,  -25.000
1917-05-01,  219.000
1917-06-01,   -6.000
1917-07-01,  -90.000
1917-08-01,  255.000
1917-09-01,  588.000
1917-10-01,   -9.000
1917-11-01,   38.000
1917-12-01,   58.000
1918-01-01,   19.000
1918-02-01,   14.000
1918-03-01,   17.000
1918-04-01,   49.000
1918-05-01,  149.000
1918-06-01,  386.000
1918-07-01,  199.000
1918-08-01,  529.000
1918-09-01,  251.000
1918-10-01,  101.000
1918-11-01,   33.000
1918-12-01,    4.000
1919-01-01,   -4.000
1919-02-01,   -4.000
1919-03-01,   10.000
1919-04-01,  -17.000
1919-05-01,  140.000
1919-06-01,  -12.000
1919-07-01,  192.000
1919-08-01, -108.000
1919-09-01,  268.000
1919-10-01,  -39.000
1919-11-01,   19.000
1919-12-01,    3.000
1920-01-01,   -4.000
