date;Country;Moughataa/Department;Commune/Municipality;arvi;arvi_category;evi;evi_category;ndvi;ndvi_category;sipi;sipi_category;spi_1;spi_1_category;spi_3;spi_3_category;spi_6;spi_6_category;spi_9;spi_9_category;spi_12;spi_12_category
01/01/2020;Senegal;Koungheul;Missirah Wadène;-1,59;4.Degraded;-2,09;5.Highly degraded;-0,03;3.Normal conditions;0,33;3.Normal conditions;-0,51;Dry;-0,25;Dry;0,07;Wet;-1,11;Moderately dry;-1,11;Moderately dry
01/01/2020;Senegal;Koungheul;Ida Mouride;-1,69;4.Degraded;-2,07;5.Highly degraded;-0,11;3.Normal conditions;0,44;3.Normal conditions;-0,45;Dry;0,39;Wet;0,16;Wet;-0,6;Dry;-0,6;Dry
01/01/2020;Senegal;Bignona;Tenghory;-1,97;4.Degraded;-1,96;4.Degraded;-0,66;3.Normal conditions;-2,13;5.Highly degraded;-0,57;Dry;-0,71;Dry;-0,97;Dry;-1,41;Moderately dry;-1,41;Moderately dry
01/01/2020;Senegal;Koungheul;Lour Escale;-1,7;4.Degraded;-1,95;4.Degraded;-0,49;3.Normal conditions;0,52;3.Normal conditions;-0,48;Dry;-0,11;Dry;-0,16;Dry;-1,26;Moderately dry;-1,26;Moderately dry
01/01/2020;Senegal;Médina Yoro Foulah;Niaming;-1,5;4.Degraded;-1,9;4.Degraded;-0,15;3.Normal conditions;-2,15;5.Highly degraded;-0,36;Dry;0,78;Wet;0,04;Wet;-0,23;Dry;-0,23;Dry
01/01/2020;Senegal;Sédhiou;Djibabouya;-1,51;4.Degraded;-1,86;4.Degraded;-0,3;3.Normal conditions;-2,1;5.Highly degraded;-0,47;Dry;-0,54;Dry;-0,62;Dry;-0,98;Dry;-0,98;Dry
01/01/2020;Senegal;Koumpentoum;Bamba Thialène;-1,42;4.Degraded;-1,85;4.Degraded;0,05;3.Normal conditions;0;3.Normal conditions;-0,3;Dry;0,76;Wet;0,19;Wet;-0,53;Dry;-0,53;Dry
01/01/2020;Senegal;Bignona;Sindian;-1,68;4.Degraded;-1,84;4.Degraded;-0,56;3.Normal conditions;-2,11;5.Highly degraded;-0,5;Dry;-0,53;Dry;-0,77;Dry;-1,08;Moderately dry;-1,08;Moderately dry
01/01/2020;Mauritania;Kobenni;Voulaniya;-1,94;4.Degraded;-1,75;4.Degraded;-1,23;4.Degraded;0,23;3.Normal conditions;4,29;Extremely wet;0,22;Wet;-0,03;Dry;-0,23;Dry;-0,23;Dry
01/01/2020;Senegal;Sédhiou;Djiredji;-1,26;4.Degraded;-1,75;4.Degraded;0,04;3.Normal conditions;-1,96;4.Degraded;0,04;Wet;-0,64;Dry;-0,68;Dry;-0,98;Dry;-0,98;Dry
01/01/2020;Senegal;Koumpentoum;Kouthiaba Wolof;-1,44;4.Degraded;-1,74;4.Degraded;-0,29;3.Normal conditions;0,04;3.Normal conditions;-0,38;Dry;-0,26;Dry;0;Wet;-1,18;Moderately dry;-1,18;Moderately dry
01/01/2020;Senegal;Goudomp;Djibanar;-1,27;4.Degraded;-1,64;4.Degraded;0,47;3.Normal conditions;-1,87;4.Degraded;0,08;Wet;-0,65;Dry;-0,63;Dry;-1,03;Moderately dry;-1,03;Moderately dry
01/01/2020;Senegal;Kaolack;Koumbal;-1,73;4.Degraded;-1,61;4.Degraded;-1,13;4.Degraded;0,67;3.Normal conditions;-0,44;Dry;-0,38;Dry;0,45;Wet;-0,63;Dry;-0,63;Dry
01/01/2020;Senegal;Malem Hodar;Sagna;-1,52;4.Degraded;-1,6;4.Degraded;-0,76;3.Normal conditions;0,53;3.Normal conditions;-0,11;Dry;0,06;Wet;0,08;Wet;-0,99;Dry;-0,99;Dry
01/01/2020;Senegal;Birkelane;Mabo;-1,65;4.Degraded;-1,56;4.Degraded;-1,14;4.Degraded;0,65;3.Normal conditions;-0,1;Dry;0,05;Wet;0,5;Wet;-0,61;Dry;-0,61;Dry
01/01/2020;Mauritania;Tintane;Ain Varba;-1,46;4.Degraded;-1,53;4.Degraded;-0,52;3.Normal conditions;0,23;3.Normal conditions;-0,15;Dry;-0,71;Dry;0,22;Wet;-0,47;Dry;-0,47;Dry
01/01/2020;Mauritania;Tamchakett;Mabrouk;-1,25;4.Degraded;-1,53;4.Degraded;-0,51;3.Normal conditions;0,22;3.Normal conditions;-0,28;Dry;0,16;Wet;-1,15;Moderately dry;-1,27;Moderately dry;-1,27;Moderately dry
01/01/2020;Mauritania;Kobenni;Kobenni;-1,73;4.Degraded;-1,53;4.Degraded;-1,19;4.Degraded;0,16;3.Normal conditions;4,47;Extremely wet;1,92;Extremely wet;-0,15;Dry;-0,07;Dry;-0,07;Dry
01/01/2020;Senegal;Nioro du Rip;Paoskoto;-1,57;4.Degraded;-1,52;4.Degraded;-0,86;3.Normal conditions;0,58;3.Normal conditions;-0,12;Dry;0;Dry;0,18;Wet;-0,48;Dry;-0,48;Dry
01/01/2020;Senegal;Bounkiling;Diaroumé;-1,09;4.Degraded;-1,51;4.Degraded;-0,04;3.Normal conditions;-1,66;4.Degraded;-0,43;Dry;-0,26;Dry;-0,07;Dry;-0,33;Dry;-0,33;Dry
01/01/2020;Mauritania;Tintane;Twil;-1,81;4.Degraded;-1,5;4.Degraded;-1,15;4.Degraded;0,21;3.Normal conditions;1,99;Extremely wet;-0,2;Dry;0,1;Wet;-0,35;Dry;-0,35;Dry
01/01/2020;Senegal;Ranérou-Ferlo;Vélingara;-1,27;4.Degraded;-1,5;4.Degraded;-0,29;3.Normal conditions;0,32;3.Normal conditions;-0,24;Dry;-0,45;Dry;-0,09;Dry;-1,16;Moderately dry;-1,16;Moderately dry
01/01/2020;Mauritania;Kobenni;Medbougou;-1,64;4.Degraded;-1,49;4.Degraded;-0,81;3.Normal conditions;0,21;3.Normal conditions;4,47;Extremely wet;0,44;Wet;-0,21;Dry;-0,24;Dry;-0,24;Dry
01/01/2020;Senegal;Tambacouda;Koussanar;-1,32;4.Degraded;-1,46;4.Degraded;-0,28;3.Normal conditions;-1,04;4.Degraded;-0,25;Dry;-0,32;Dry;0,03;Wet;-1,09;Moderately dry;-1,09;Moderately dry
01/01/2020;Senegal;Gossas;Ouadiour;-1,49;4.Degraded;-1,44;4.Degraded;-0,99;3.Normal conditions;0,55;3.Normal conditions;-0,49;Dry;-0,45;Dry;0,08;Wet;-1,19;Moderately dry;-1,19;Moderately dry
